"","doc_id","sentence_id","entity","entity_type","link"
"1","text2",2,"Basler","ORG","0002.jpg"
"2","text2",2,"Basel","ORG","0002.jpg"
"3","text2",3,"Rheinschiffahrt-Aktiengesellschaft","MISC","0002.jpg"
"4","text2",5,"Birsig","LOC","0002.jpg"
"5","text2",6,"Navibale","ORG","0002.jpg"
"6","text2",6,"Postcheck-","MISC","0002.jpg"
"7","text2",6,"Schweizerischer_Bankverein","ORG","0002.jpg"
"8","text2",6,"Basel","LOC","0002.jpg"
"9","text2",6,"Herrn_Christ","PER","0002.jpg"
"10","text2",6,"Fa._Paravicini","PER","0002.jpg"
"11","text2",6,"Christ","PER","0002.jpg"
"12","text2",10,"Christ","PER","0002.jpg"
"13","text2",11,"Herrn_Ryniker","PER","0002.jpg"
"14","text2",11,"Max_Vischer","PER","0002.jpg"
"15","text2",14,"Basel","LOC","0002.jpg"
"16","text2",14,"Hüninger_Kanal","LOC","0002.jpg"
"17","text2",17,"Schlepp-_
","LOC","0002.jpg"
"18","text2",17,"Herbst_
","MISC","0002.jpg"
"19","text2",18,"Rhein-_
_Verkehr","LOC","0002.jpg"
"20","text2",20,"Herrn","PER","0002.jpg"
"21","text2",20,"Schiffbau-Ingenieur_Ryniker","PER","0002.jpg"
"22","text2",23,"Basler_Personenschiffahrtsgesellschaft","MISC","0002.jpg"
"23","text3",1,"Basel","LOC","0003.jpg"
"24","text3",3,"Herrn_Christ","PER","0003.jpg"
"25","text3",7,"Rheinfelden","ORG","0003.jpg"
"26","text3",9,"unserm","PER","0003.jpg"
"27","text3",9,"Internationalen_Ausstellung_
_für_Binnenschiffahrt","MISC","0003.jpg"
"28","text3",9,"unserm","LOC","0003.jpg"
"29","text3",9,"Basel","LOC","0003.jpg"
"30","text3",9,"Istein","LOC","0003.jpg"
"31","text3",9,"Kembs","LOC","0003.jpg"
"32","text3",9,"Breisach","LOC","0003.jpg"
"33","text3",11,"Strassburg","LOC","0003.jpg"
"34","text3",12,"Rheinfelden","ORG","0003.jpg"
"35","text3",14,"Basel","LOC","0003.jpg"
"36","text3",15,"Herrn_Ryniker","PER","0003.jpg"
"37","text3",15,"Max_Vischer","PER","0003.jpg"
"38","text3",15,"Herrn_Dr._Vischer","PER","0003.jpg"
"39","text3",15,"Herrn_Ryniker","PER","0003.jpg"
"40","text4",1,"Basel","ORG","0004.jpg"
"41","text4",2,"Herrn_Christ","PER","0004.jpg"
"42","text4",3,"kongreter","MISC","0004.jpg"
"43","text4",11,"Herrn_Ryniker","PER","0004.jpg"
"44","text4",11,"Schiffbau-Ingenieur_Basel","ORG","0004.jpg"
"45","text4",11,"Herrn_Dr._Krasting_Basel","PER","0004.jpg"
"46","text5",1,"Basler","PER","0005.jpg"
"47","text5",1,"Rheinschiffahrt-Aktiengesellschaft","MISC","0005.jpg"
"48","text5",1,"Basel","ORG","0005.jpg"
"49","text5",3,"Birsig","LOC","0005.jpg"
"50","text5",3,"Navibale_
_Postcheck-Konto_V","MISC","0005.jpg"
"51","text5",3,"Schweizerischer_Bankverein","ORG","0005.jpg"
"52","text5",3,"Basel","LOC","0005.jpg"
"53","text5",3,"Herrn_P._Christ","PER","0005.jpg"
"54","text5",3,"Wackernagel","PER","0005.jpg"
"55","text5",3,"Fa._Paravicini","PER","0005.jpg"
"56","text5",3,"Christ","PER","0005.jpg"
"57","text5",7,"Christ","PER","0005.jpg"
"58","text5",7,"Herr_Groschupf","LOC","0005.jpg"
"59","text5",8,"Vogel-Gryf","ORG","0005.jpg"
"60","text5",8,"Internationalen_Ausstellung_
_für_Binnenschiffahrt","MISC","0005.jpg"
"61","text5",8,"Basel","LOC","0005.jpg"
"62","text5",11,"Hafenfahrten","PER","0005.jpg"
"63","text5",11,"Rheinfelden","LOC","0005.jpg"
"64","text5",11,"Strass-","MISC","0005.jpg"
"65","text5",13,"SBB","ORG","0005.jpg"
"66","text6",1,"Basel","LOC","0006.jpg"
