Column,doc_id,sentence_id,entity,no.titles,entity_type,link
9,text2,6,Herrn Christ,Christ,PER,0002.jpg
10,text2,6,Fa. Paravicini,Fa. Paravicini,PER,0002.jpg
11,text2,6,Christ,Christ,PER,0002.jpg
12,text2,10,Christ,Christ,PER,0002.jpg
13,text2,11,Herrn Ryniker,Ryniker,PER,0002.jpg
14,text2,11,Max Vischer,Vischer,PER,0002.jpg
20,text2,20,Herrn,,PER,0002.jpg
21,text2,20,Schiffbau-Ingenieur Ryniker,Ryniker,PER,0002.jpg
24,text3,3,Herrn Christ,Christ,PER,0003.jpg
36,text3,15,Herrn Ryniker,Ryniker,PER,0003.jpg
37,text3,15,Max Vischer,Vischer,PER,0003.jpg
38,text3,15,Herrn Dr. Vischer,Vischer,PER,0003.jpg
39,text3,15,Herrn Ryniker,Ryniker,PER,0003.jpg
41,text4,2,Herrn Christ,Christ,PER,0004.jpg
43,text4,11,Herrn Ryniker,Ryniker,PER,0004.jpg
45,text4,11,Herrn Dr. Krasting Basel,Krasting Basel,PER,0004.jpg
46,text5,1,Basler,Basler,PER,0005.jpg
53,text5,3,Herrn P. Christ,Christ,PER,0005.jpg
54,text5,3,Wackernagel,Wackernagel,PER,0005.jpg
55,text5,3,Fa. Paravicini,Fa. Paravicini,PER,0005.jpg
56,text5,3,Christ,Christ,PER,0005.jpg
57,text5,7,Christ,Christ,PER,0005.jpg
67,text6,2,Herrn Christ,Christ,PER,0006.jpg
79,text7,2,Herrn Christ,Christ,PER,0007.jpg
92,text8,2,Herrn Christ,Christ,PER,0008.jpg
103,text8,12,Augst,Augst,PER,0008.jpg
121,text10,1,Basler,Basler,PER,0010.jpg
126,text10,3,Herrn P. Christ,Christ,PER,0010.jpg
127,text10,3,Wackernagel,Wackernagel,PER,0010.jpg
130,text10,3,Fa. Paravicini,Fa. Paravicini,PER,0010.jpg
131,text10,3,Christ,Christ,PER,0010.jpg
137,text11,12,Herrn Christ,Christ,PER,0011.jpg
138,text11,13,Christ,Christ,PER,0011.jpg
141,text11,17,Herrn Christ,Christ,PER,0011.jpg
147,text12,6,Ferne,Ferne,PER,0012.jpg
158,text13,15,L.,L.,PER,0013.jpg
159,text13,15,Christ,Christ,PER,0013.jpg
160,text13,15,Christ,Christ,PER,0013.jpg
168,text14,3,Herrn Dr. W.Krasting,W.Krasting,PER,0014.jpg
176,text16,1,Basler,Basler,PER,0016.jpg
183,text16,4,Herrn P. Christ,Christ,PER,0016.jpg
184,text16,4,Wackernagel,Wackernagel,PER,0016.jpg
186,text16,6,Christ,Christ,PER,0016.jpg
187,text16,6,Herrn Dr. Max Vischer,Vischer,PER,0016.jpg
192,text17,3,Basler,Basler,PER,0017.jpg
196,text18,1,Max V,Max V,PER,0018.jpg
198,text18,2,Horrn Ryniker,Herrn Ryniker,PER,0018.jpg
199,text18,2,Herrn Christ,Christ,PER,0018.jpg
201,text18,7,Beza,Beza,PER,0018.jpg
205,text18,13,Herrn Dr. Krasting,Krasting,PER,0018.jpg
206,text18,13,Herrn Dr. Krast,Krast,PER,0018.jpg
207,text18,14,Christ,Christ,PER,0018.jpg
208,text18,14,Christ,Christ,PER,0018.jpg
214,text19,6,Christ,Christ,PER,0019.jpg
218,text19,9,Herrn Dr. Krasting,Krasting,PER,0019.jpg
219,text19,9,Christ,Christ,PER,0019.jpg
220,text19,9,Eisse,Eisse,PER,0019.jpg
221,text19,10,Herrn Dr. Krasting,Krasting,PER,0019.jpg
222,text19,12,Herrn Christ,Christ,PER,0019.jpg
223,text19,14,Christ,Christ,PER,0019.jpg
228,text20,6,Herrn,,PER,0020.jpg
