dc:source,spacy:ent.start_char,spacy:ent.end_char,spacy:ent.text,spacy:ent.label_
Dokument 07,2115,2121,Chriet,PER
Dokument 07,1991,1997,Christ,PER
Dokument 07,2475,2481,Christ,PER
Dokument 07,3601,3607,Christ,PER
Dokument 08,1025,1031,Christ,PER
Dokument 08,1341,1347,Christ,PER
Dokument 08,1730,1736,Christ,PER
Dokument 08,3054,3060,Christ,PER
Dokument 08,654,660,Christ,PER
Dokument 08,999,1019,Christ mit-geteilt;,PER
Dokument 03,1567,1586,Christ per-sönlich,PER
Dokument 07,8323,8343,Christ stattgefanden,PER
Dokument 07,3480,3500,Christ telerhenisch,PER
Dokument 07,4607,4623,Christ von Ihnen,PER
Dokument 07,2424,2436,Christ Xopie,PER
Dokument 07,5255,5266,Christricht,PER
Dokument 07,1860,1885,BureauHerrn Dr. Krasting,PER
Dokument 08,5777,5787,Christund,PER
Dokument 03,935,964,Dr. Krastingund Herrn Christ,PER
Dokument 28,425,440,F.Buess Sissach,PER
Dokument 58,624,633,F.Mangold,PER
Dokument 30,6276,6288,Fr.Albatros,PER
Dokument 39,1034,1038,Frey,PER
Dokument 65,74,126,Fritz RitterBasler Rheinschiffahrt A.-G.-18Basel,PER
Dokument 40,1048,1057,Groschupf,PER
Dokument 40,1844,1853,Herr Frey,PER
Dokument 39,2118,2148,Herr Freydarüber Rechenschaft,PER
Dokument 12,402,424,Herr Oettingerbereits,PER
Dokument 13,634,639,Herrn,PER
Dokument 07,1322,1334,Herrn Christ,PER
Dokument 19,415,442,"Herrn Christ, Vicepräsident",PER
Dokument 07,1917,1937,Herrn Dr. KrastAupf,PER
Dokument 07,5400,5418,Herrn Dr. Krasting,PER
Dokument 08,2566,2585,Herrn Dr. Krasting.,PER
Dokument 07,352,375,"Herrn Dr. Max Vischer,",PER
Dokument 42,190,206,Herrn Dr. Speich,PER
Dokument 38,1095,1116,Herrn Dr. Speichbei.,PER
Dokument 01,3047,3069,"Herrn Dr. Vischer,den",PER
Dokument 37,1526,1536,Herrn Frey,PER
Dokument 40,1496,1506,Herrn Frey,PER
Dokument 40,719,729,Herrn Frey,PER
Dokument 41,256,266,Herrn Frey,PER
Dokument 39,1364,1375,Herrn Frey.,PER
Dokument 37,1668,1682,Herrn Freynie,PER
Dokument 08,3295,3310,Herrn Groschupf,PER
Dokument 08,964,979,Herrn Groschupf,PER
Dokument 38,974,989,Herrn Groschupf,PER
Dokument 40,2672,2687,Herrn Groschupf,PER
Dokument 08,3457,3501,Herrn Groschupfund dem Linksunterzeichneten,PER
Dokument 09,589,607,Herrn Groschupfzu,PER
Dokument 36,204,227,Herrn JeanRichard Frey,PER
Dokument 13,405,420,Herrn Oettinger,PER
Dokument 07,7085,7098,Herrn Reisenn,PER
Dokument 01,2913,2926,Herrn Ryniker,PER
Dokument 01,3073,3086,Herrn Ryniker,PER
Dokument 62,753,780,"Herrn Ryniker geantwortet,",PER
Dokument 48,406,432,Herrn Schiff-bauingenieur,PER
Dokument 66,4074,4086,Herrn Wacker,PER
Dokument 66,735,747,Herrn Wacker,PER
Dokument 07,4240,4257,Horr Dr. Krasting,PER
Dokument 07,1190,1203,Horrn Ryniker,PER
Dokument 39,463,471,J.R.Frey,PER
Dokument 31,423,440,Jean Richard Frey,PER
Dokument 32,705,722,Jean RichardFrey,PER
Dokument 37,412,429,JeanRichard Frey,PER
Dokument 30,12025,12029,Kehl,PER
Dokument 44,2245,2249,Kolk,PER
Dokument 29,176,249,"Max Oettinger, Verkehrsbureau,Bankverbindung: Schweizerischer Bankverein",PER
Dokument 01,2957,2968,Max Vischer,PER
Dokument 12,2250,2261,Max Vischer,PER
Dokument 67,221,233,Max Vischer,PER
Dokument 57,219,239,"Max Vischer, Advokat",PER
Dokument 57,1373,1400,"Max Vischer, AdvokatBasel.",PER
Dokument 52,218,238,"Max Vischer,Advokat",PER
Dokument 55,255,293,"Max Vischer,AdvokatTELEGRAMM-ADRESSE:",PER
Dokument 31,175,230,"Max Vischer,Bankverbindung: Schweizerischer Bankverein",PER
Dokument 52,1531,1557,"Max Vischer,dieses Bootes",PER
Dokument 40,184,202,"Max Vischer,idoen",PER
Dokument 12,106,132,"Max Vischer,R/MPräsident",PER
Dokument 52,3316,3333,"Max Vischer,über",PER
Dokument 42,51,63,Max Vischer.,PER
Dokument 39,83,110,Max VischerSt. Albangraben,PER
Dokument 09,1425,1434,Oettinger,PER
Dokument 19,453,462,Oettinger,PER
Dokument 23,2031,2040,Oettinger,PER
Dokument 23,490,499,Oettinger,PER
Dokument 60,194,256,PlantaDIREKTIONAdvokat & NotarBaselBetr.Personenschiffahrt,PER
Dokument 45,601,638,"r. Max Vischer,Advokat & NotarBasel.",PER
Dokument 58,248,254,Ritter,PER
Dokument 46,535,544,Rupprecht,PER
Dokument 13,650,665,Ryniker ausge-,PER
Dokument 07,4462,4472,"suben uns,",PER
Dokument 33,82,96,W. Stauffacher,PER
Dokument 41,30,54,W. StauffacherPräsident,PER
Dokument 65,575,581,Wacker,PER
Dokument 38,40,68,Werner StauffacherPräsident,PER
Dokument 12,2777,2796,WernerStauffacher.,PER
Dokument 10,441,449,Wylemann,PER
Dokument 37,0,36,37den 24. Mai8.Herrn Dr.R. Speich,PER
Dokument 37,91,139,BankvereinBase lSehr geehrter Herr Dr. Speich.,PER
Dokument 37,639,668,Aus-führungen des Herrn Frey,PER
Dokument 52,3386,3398,Spillmannzu,PER
